Lat,Lng,Depth,Mag,Sig,Place,Time,Month,Day,Year,Country
-35.657,-73.165,30.6,5.0,385,"offshore Maule, Chile",2011-01-11 01:05:28.210,1,11,2011,CL
-35.623000000000005,-71.943,35.0,5.1,402,"Maule, Chile",2011-01-11 05:33:33.860,1,11,2011,CL
-13.265,167.208,221.8,5.5,465,Vanuatu,2011-01-11 09:16:09.550,1,11,2011,VU
-6.433,-10.75,10.0,5.0,385,Ascension Island region,2011-01-11 15:45:32.550,1,11,2011,SH
26.63,143.665,10.0,5.2,416,"Bonin Islands, Japan region",2011-01-11 23:47:49.640,1,11,2011,JP
12.511,-90.06200000000001,47.9,5.1,400,off the coast of El Salvador,2011-01-12 01:05:36.610,1,12,2011,SV
3.5639999999999996,126.53299999999999,47.1,5.3,432,"Kepulauan Talaud, Indonesia",2011-01-12 01:45:25.640,1,12,2011,ID
27.01,-111.414,10.0,5.0,386,Gulf of California,2011-01-12 02:38:13.600,1,12,2011,MX
-6.961,105.083,35.0,5.0,385,"Sunda Strait, Indonesia",2011-01-12 12:44:45.810,1,12,2011,ID
-57.324,147.558,10.0,5.4,449,west of Macquarie Island,2011-01-12 13:05:11.150,1,12,2011,AU
-19.406,168.399,14.2,5.1,400,Vanuatu,2011-01-12 14:46:03.590,1,12,2011,VU
26.973000000000003,139.882,512.0,6.4,630,"Bonin Islands, Japan region",2011-01-12 21:32:53.860,1,12,2011,JP
-19.152,167.805,10.0,5.2,416,Vanuatu region,2011-01-12 23:23:44.350,1,12,2011,VU
-18.938,169.392,262.5,5.2,416,Vanuatu,2011-01-13 06:00:42.290,1,13,2011,VU
27.258000000000003,143.315,10.0,5.0,385,"Bonin Islands, Japan region",2011-01-13 09:36:19.440,1,13,2011,JP
6.209,127.035,90.4,5.0,385,Philippine Islands region,2011-01-13 10:20:43.150,1,13,2011,PH
-22.362,-179.295,551.9,5.3,432,south of the Fiji Islands,2011-01-13 10:41:41.830,1,13,2011,TO
-36.92,179.46,35.0,5.5,465,off the east coast of the North Island of New Zealand,2011-01-13 12:04:56.420,1,13,2011,NZ
-20.628,168.47099999999998,9.0,7.0,755,"Loyalty Islands, New Caledonia",2011-01-13 16:16:41.540,1,13,2011,NC
-19.782,168.425,10.0,5.4,449,Vanuatu,2011-01-13 16:30:32.400,1,13,2011,VU
-20.57,168.355,23.1,5.3,432,"Loyalty Islands, New Caledonia",2011-01-13 16:34:33.340,1,13,2011,NC
-20.423,168.468,10.0,5.2,416,"Loyalty Islands, New Caledonia",2011-01-13 16:38:51.540,1,13,2011,VU
-20.849,168.729,10.0,5.2,416,"Loyalty Islands, New Caledonia",2011-01-13 16:41:34.530,1,13,2011,NC
-20.605999999999998,168.399,10.0,5.9,536,"Loyalty Islands, New Caledonia",2011-01-13 16:43:07.730,1,13,2011,NC
-20.590999999999998,168.425,10.0,5.2,416,"Loyalty Islands, New Caledonia",2011-01-13 16:57:28.970,1,13,2011,NC
-20.62,168.422,10.0,5.3,432,"Loyalty Islands, New Caledonia",2011-01-13 17:26:05.870,1,13,2011,NC
-5.557,130.246,10.0,5.0,385,Banda Sea,2011-01-13 18:59:07.610,1,13,2011,ID
-20.444000000000003,168.4,10.0,5.2,416,"Loyalty Islands, New Caledonia",2011-01-13 20:07:24.690,1,13,2011,NC
-20.683000000000003,168.41,10.0,5.1,400,"Loyalty Islands, New Caledonia",2011-01-13 21:32:37.820,1,13,2011,NC
-20.491,168.39700000000002,10.0,5.0,385,"Loyalty Islands, New Caledonia",2011-01-13 22:57:47.920,1,13,2011,NC
-20.775,168.437,10.0,5.0,385,"Loyalty Islands, New Caledonia",2011-01-14 02:22:21.200,1,14,2011,NC
-20.674,168.452,10.0,5.1,400,"Loyalty Islands, New Caledonia",2011-01-14 02:35:15.890,1,14,2011,NC
-49.351000000000006,163.83,22.6,5.0,385,"Auckland Islands, New Zealand region",2011-01-14 06:48:58.790,1,14,2011,NZ
-17.035,-174.14700000000002,100.7,5.1,400,Tonga,2011-01-14 07:24:42.420,1,14,2011,TO
-20.715999999999998,168.482,10.0,5.0,385,"Loyalty Islands, New Caledonia",2011-01-14 08:58:31.380,1,14,2011,NC
-6.959,129.231,167.8,5.4,450,Banda Sea,2011-01-14 16:39:29.280,1,14,2011,TL
-20.691,168.455,10.0,5.0,385,"Loyalty Islands, New Caledonia",2011-01-15 01:39:50.470,1,15,2011,NC
-14.589,167.285,198.5,5.8,518,Vanuatu,2011-01-15 06:09:10.330,1,15,2011,VU
27.241,143.381,10.0,5.1,400,"Bonin Islands, Japan region",2011-01-15 08:45:33.880,1,15,2011,JP
19.699,-109.005,10.0,5.0,385,Revilla Gigedo Islands region,2011-01-15 10:51:33.040,1,15,2011,MX
2.491,96.28,17.0,5.7,500,"Simeulue, Indonesia",2011-01-15 11:23:52.870,1,15,2011,ID
2.369,96.26899999999999,10.0,5.0,385,"Simeulue, Indonesia",2011-01-15 11:45:17.630,1,15,2011,ID
-5.65,130.252,198.8,5.7,500,Banda Sea,2011-01-15 12:56:26.770,1,15,2011,ID
2.399,96.285,10.0,5.4,449,"Simeulue, Indonesia",2011-01-15 16:26:05.590,1,15,2011,ID
34.451,141.643,46.2,5.0,385,"off the east coast of Honshu, Japan",2011-01-16 11:14:12.340,1,16,2011,JP
-6.555,128.994,213.3,5.2,416,Banda Sea,2011-01-16 11:59:52.710,1,16,2011,TL
-20.587,-174.285,21.1,5.3,432,Tonga,2011-01-16 18:42:15.840,1,16,2011,TO
